Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
2,50553,1,Brian,Smyth,2302,0,2302,,,Green Party
2,69323,1,David,Brooks,6633,0,6633,,,Democratic Unionist Party
2,69143,1,Karl,Bennett,970,0,970,,,Progressive Unionist Party
2,95175,1,Eoin,MacNeill,72,0,72,,,Workers Party
2,13032,1,Joanne,Bunting,7253,0,7253,,,Democratic Unionist Party
2,19680,1,Mairéad,O'Donnell,1369,0,1369,,,Sinn Fein
2,84785,1,Hannah,Kenny,500,0,500,,,People Before Profit Alliance
2,84774,1,Lauren,Kerr,1282,0,1282,,,Ulster Unionist Party
2,84442,1,Charlotte,Carson,484,0,484,,,Social Democratic and Labour Party
2,84284,1,John,Ross,3087,0,3087,,,Traditional Unionist Voice
2,2454,1,Naomi,Long,8195,0,8195,,,Alliance Party
2,8116,1,Andy,Allen,5281,0,5281,,,Ulster Unionist Party
2,50315,1,Peter,McReynolds,5820,0,5820,,,Alliance Party
