Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
10,49673,1,Phillip,Brett,6329,0,6329,,,Democratic Unionist Party
10,11377,1,Carál Ní,Chuilín,7932,0,7932,,,Sinn Fein
10,19690,1,Julie-Anne,Corr-Johnston,2643,0,2643,,,Ulster Unionist Party
10,11371,1,Fiona,Ferguson,1059,0,1059,,,People Before Profit Alliance
10,11372,1,Billy,Hutchinson,762,0,762,,,Progressive Unionist Party
10,131,1,Gerry,Kelly,8395,0,8395,,,Sinn Fein
10,6265,1,Lily,Kerr,4418,0,4418,,,Workers Party
10,49668,1,Brian,Kingston,4844,0,4844,,,Democratic Unionist Party
10,11385,1,Nichola,Mallon,3604,0,3604,,,Social Democratic and Labour Party
10,11374,1,Nuala,McAllister,4381,0,4381,,,Alliance Party
10,84283,1,Ron,McDowell,3335,0,3335,,,Traditional Unionist Voice
10,11378,1,Malachai,O'Hara,1446,0,1446,,,Green Party
10,68137,1,Stafford,Ward,489,0,489,,,Independent
10,95159,1,Seán Mac,Niocaill,640,0,640,,,Aontu
