Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
13,5824,1,Clare,Bailey,4058,0,4058,,,Green Party
13,1679,1,Paula,Bradshaw,6503,0,6503,,,Alliance Party
13,13035,1,Andrew,Girvin,1935,0,1935,,,Traditional Unionist Voice
13,69247,1,Deirdre,Hargey,9511,0,9511,,,Sinn Fein
13,69242,1,Paddy,Lynn,139,0,139,,,Workers Party
13,86451,1,Luke,McCann,806,0,806,,,Aontu
13,68117,1,Stephen,McCarthy,3061,0,3061,,,Ulster Unionist Party
13,85046,1,Neil,Moore,353,0,353,,,Socialist Party (Northern Ireland)
13,6989,1,Kate,Nicholl,5201,0,5201,,,Alliance Party
13,95174,1,Elly,Odhiambo,107,0,107,,,Independent
13,84278,1,Matthew,O'Toole,5394,0,5394,,,Social Democratic and Labour Party
13,11544,1,Edwin,Poots,7211,0,7211,,,Democratic Unionist Party
13,84786,1,Sipho,Sibanda,629,0,629,,,People Before Profit Alliance
13,84279,1,Elsie,Trainor,2030,0,2030,,,Social Democratic and Labour Party
