Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
17,69227,1,Danny,Baker,9011,0,9011,,,Sinn Fein
17,84800,1,Gerard,Burns,192,0,192,,,Independent
17,7199,1,Gerry,Carroll,3279,0,3279,,,People Before Profit Alliance
17,95177,1,Patrick,Crossan,193,0,193,,,Workers Party
17,69199,1,Paul,Doherty,2528,0,2528,,,Social Democratic and Labour Party
17,84444,1,Jordan,Doran,802,0,802,,,Traditional Unionist Voice
17,19668,1,Órlaithí,Flynn,6743,0,6743,,,Sinn Fein
17,84443,1,Linsey,Gibson,474,0,474,,,Ulster Unionist Party
17,84445,1,Gerard,Herdman,1753,0,1753,,,Aontu
17,50308,1,Donnamarie,Higgins,907,0,907,,,Alliance Party
17,95178,1,Declan,Hill,26,0,26,,,Independent
17,69201,1,Stevie,Maginn,307,0,307,,,Green Party
17,84451,1,Tony,Mallon,129,0,129,,,Independent
17,7174,1,Frank,McCoubrey,4166,0,4166,,,Democratic Unionist Party
17,84590,1,Dan,Murphy,1103,0,1103,,,Irish Republican Socialist Party
17,84591,1,Aisling,Reilly,5681,0,5681,,,Sinn Fein
17,11436,1,Pat,Sheehan,6370,0,6370,,,Sinn Fein
