Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
3,5979,1,Caoimhe,Archibald,6868,0,6868,,,Sinn Fein
3,12079,1,Jordan,Armstrong,2959,0,2959,,,Traditional Unionist Voice
3,12080,1,Maurice,Bradley,6786,0,6786,,,Democratic Unionist Party
3,84446,1,Gemma,Brolly,1095,0,1095,,,Aontu
3,69309,1,Mark,Coulson,347,0,347,,,Green Party
3,49383,1,Cara,Hunter,3664,0,3664,,,Social Democratic and Labour Party
3,11861,1,Chris,McCaw,3338,0,3338,,,Alliance Party
3,49598,1,Kathleen,McGurk,4500,0,4500,,,Sinn Fein
3,85001,1,Amy,Merron,347,0,347,,,People Before Profit Alliance
3,84738,1,Niall,Murphy,181,0,181,Excluded,1,Independent
3,35020,1,Stephanie,Quigley,1503,0,1503,,,Independent
3,69396,1,Alan,Robinson,5151,0,5151,,,Democratic Unionist Party
3,95176,1,Billy,Stewart,82,0,82,Excluded,1,Independent
3,12087,1,Claire,Sugden,3981,0,3981,,,Independent
3,12088,1,Russell,Watton,933,0,933,,,Progressive Unionist Party
3,69223,1,Darryl,Wilson,2625,0,2625,,,Ulster Unionist Party
3,5979,2,Caoimhe,Archibald,6868,18,6886,,,Sinn Fein
3,12079,2,Jordan,Armstrong,2959,5,2964,,,Traditional Unionist Voice
3,12080,2,Maurice,Bradley,6786,5,6791,,,Democratic Unionist Party
3,84446,2,Gemma,Brolly,1095,41,1136,,,Aontu
3,69309,2,Mark,Coulson,347,5,352,Excluded,2,Green Party
3,49383,2,Cara,Hunter,3664,32,3696,,,Social Democratic and Labour Party
3,11861,2,Chris,McCaw,3338,12,3350,,,Alliance Party
3,49598,2,Kathleen,McGurk,4500,28,4528,,,Sinn Fein
3,85001,2,Amy,Merron,347,5,352,Excluded,2,People Before Profit Alliance
3,84738,2,Niall,Murphy,181,-181,0,Excluded,1,Independent
3,35020,2,Stephanie,Quigley,1503,59,1562,,,Independent
3,69396,2,Alan,Robinson,5151,9,5160,,,Democratic Unionist Party
3,95176,2,Billy,Stewart,82,-82,0,Excluded,1,Independent
3,12087,2,Claire,Sugden,3981,25,4006,,,Independent
3,12088,2,Russell,Watton,933,2,935,,,Progressive Unionist Party
3,69223,2,Darryl,Wilson,2625,3,2628,,,Ulster Unionist Party
3,5979,3,Caoimhe,Archibald,6868,59,6945,,,Sinn Fein
3,12079,3,Jordan,Armstrong,2959,9,2973,,,Traditional Unionist Voice
3,12080,3,Maurice,Bradley,6786,16,6807,,,Democratic Unionist Party
3,84446,3,Gemma,Brolly,1095,23,1159,,,Aontu
3,69309,3,Mark,Coulson,347,-352,0,Excluded,2,Green Party
3,49383,3,Cara,Hunter,3664,141,3837,,,Social Democratic and Labour Party
3,11861,3,Chris,McCaw,3338,244,3594,,,Alliance Party
3,49598,3,Kathleen,McGurk,4500,30,4558,,,Sinn Fein
3,85001,3,Amy,Merron,347,-352,0,Excluded,2,People Before Profit Alliance
3,84738,3,Niall,Murphy,181,0,0,Excluded,1,Independent
3,35020,3,Stephanie,Quigley,1503,51,1613,,,Independent
3,69396,3,Alan,Robinson,5151,6,5166,,,Democratic Unionist Party
3,95176,3,Billy,Stewart,82,0,0,Excluded,1,Independent
3,12087,3,Claire,Sugden,3981,76,4082,,,Independent
3,12088,3,Russell,Watton,933,4,939,Excluded,3,Progressive Unionist Party
3,69223,3,Darryl,Wilson,2625,16,2644,,,Ulster Unionist Party
3,5979,4,Caoimhe,Archibald,6868,0,6945,,,Sinn Fein
3,12079,4,Jordan,Armstrong,2959,237,3210,,,Traditional Unionist Voice
3,12080,4,Maurice,Bradley,6786,414,7221,,,Democratic Unionist Party
3,84446,4,Gemma,Brolly,1095,1,1160,Excluded,4,Aontu
3,69309,4,Mark,Coulson,347,0,0,Excluded,2,Green Party
3,49383,4,Cara,Hunter,3664,6,3843,,,Social Democratic and Labour Party
3,11861,4,Chris,McCaw,3338,11,3605,,,Alliance Party
3,49598,4,Kathleen,McGurk,4500,0,4558,,,Sinn Fein
3,85001,4,Amy,Merron,347,0,0,Excluded,2,People Before Profit Alliance
3,84738,4,Niall,Murphy,181,0,0,Excluded,1,Independent
3,35020,4,Stephanie,Quigley,1503,17,1630,,,Independent
3,69396,4,Alan,Robinson,5151,57,5223,,,Democratic Unionist Party
3,95176,4,Billy,Stewart,82,0,0,Excluded,1,Independent
3,12087,4,Claire,Sugden,3981,85,4167,,,Independent
3,12088,4,Russell,Watton,933,-939,0,Excluded,3,Progressive Unionist Party
3,69223,4,Darryl,Wilson,2625,93,2737,,,Ulster Unionist Party
3,5979,5,Caoimhe,Archibald,6868,218,7163,,,Sinn Fein
3,12079,5,Jordan,Armstrong,2959,14,3224,,,Traditional Unionist Voice
3,12080,5,Maurice,Bradley,6786,28,7249,,,Democratic Unionist Party
3,84446,5,Gemma,Brolly,1095,-1160,0,Excluded,4,Aontu
3,69309,5,Mark,Coulson,347,0,0,Excluded,2,Green Party
3,49383,5,Cara,Hunter,3664,232,4075,,,Social Democratic and Labour Party
3,11861,5,Chris,McCaw,3338,78,3683,,,Alliance Party
3,49598,5,Kathleen,McGurk,4500,132,4690,,,Sinn Fein
3,85001,5,Amy,Merron,347,0,0,Excluded,2,People Before Profit Alliance
3,84738,5,Niall,Murphy,181,0,0,Excluded,1,Independent
3,35020,5,Stephanie,Quigley,1503,175,1805,Excluded,5,Independent
3,69396,5,Alan,Robinson,5151,25,5248,,,Democratic Unionist Party
3,95176,5,Billy,Stewart,82,0,0,Excluded,1,Independent
3,12087,5,Claire,Sugden,3981,33,4200,,,Independent
3,12088,5,Russell,Watton,933,0,0,Excluded,3,Progressive Unionist Party
3,69223,5,Darryl,Wilson,2625,3,2740,,,Ulster Unionist Party
3,5979,6,Caoimhe,Archibald,6868,81,7244,,,Sinn Fein
3,12079,6,Jordan,Armstrong,2959,61,3285,,,Traditional Unionist Voice
3,12080,6,Maurice,Bradley,6786,152,7401,Elected,6,Democratic Unionist Party
3,84446,6,Gemma,Brolly,1095,0,0,Excluded,4,Aontu
3,69309,6,Mark,Coulson,347,0,0,Excluded,2,Green Party
3,49383,6,Cara,Hunter,3664,195,4270,,,Social Democratic and Labour Party
3,11861,6,Chris,McCaw,3338,179,3862,,,Alliance Party
3,49598,6,Kathleen,McGurk,4500,23,4713,,,Sinn Fein
3,85001,6,Amy,Merron,347,0,0,Excluded,2,People Before Profit Alliance
3,84738,6,Niall,Murphy,181,0,0,Excluded,1,Independent
3,35020,6,Stephanie,Quigley,1503,-1805,0,Excluded,5,Independent
3,69396,6,Alan,Robinson,5151,75,5323,,,Democratic Unionist Party
3,95176,6,Billy,Stewart,82,0,0,Excluded,1,Independent
3,12087,6,Claire,Sugden,3981,749,4949,,,Independent
3,12088,6,Russell,Watton,933,0,0,Excluded,3,Progressive Unionist Party
3,69223,6,Darryl,Wilson,2625,78,2818,Excluded,6,Ulster Unionist Party
3,5979,7,Caoimhe,Archibald,6868,4,7248,,,Sinn Fein
3,12079,7,Jordan,Armstrong,2959,452,3737,Excluded,7,Traditional Unionist Voice
3,12080,7,Maurice,Bradley,6786,-7,7394,Elected,6,Democratic Unionist Party
3,84446,7,Gemma,Brolly,1095,0,0,Excluded,4,Aontu
3,69309,7,Mark,Coulson,347,0,0,Excluded,2,Green Party
3,49383,7,Cara,Hunter,3664,121,4391,,,Social Democratic and Labour Party
3,11861,7,Chris,McCaw,3338,407,4269,,,Alliance Party
3,49598,7,Kathleen,McGurk,4500,0,4713,,,Sinn Fein
3,85001,7,Amy,Merron,347,0,0,Excluded,2,People Before Profit Alliance
3,84738,7,Niall,Murphy,181,0,0,Excluded,1,Independent
3,35020,7,Stephanie,Quigley,1503,0,0,Excluded,5,Independent
3,69396,7,Alan,Robinson,5151,797,6120,,,Democratic Unionist Party
3,95176,7,Billy,Stewart,82,0,0,Excluded,1,Independent
3,12087,7,Claire,Sugden,3981,903,5852,,,Independent
3,12088,7,Russell,Watton,933,0,0,Excluded,3,Progressive Unionist Party
3,69223,7,Darryl,Wilson,2625,-2818,0,Excluded,6,Ulster Unionist Party
3,5979,8,Caoimhe,Archibald,6868,5,7253,,,Sinn Fein
3,12079,8,Jordan,Armstrong,2959,-3737,0,Excluded,7,Traditional Unionist Voice
3,12080,8,Maurice,Bradley,6786,0,7394,Elected,6,Democratic Unionist Party
3,84446,8,Gemma,Brolly,1095,0,0,Excluded,4,Aontu
3,69309,8,Mark,Coulson,347,0,0,Excluded,2,Green Party
3,49383,8,Cara,Hunter,3664,87,4478,,,Social Democratic and Labour Party
3,11861,8,Chris,McCaw,3338,139,4408,,,Alliance Party
3,49598,8,Kathleen,McGurk,4500,2,4715,,,Sinn Fein
3,85001,8,Amy,Merron,347,0,0,Excluded,2,People Before Profit Alliance
3,84738,8,Niall,Murphy,181,0,0,Excluded,1,Independent
3,35020,8,Stephanie,Quigley,1503,0,0,Excluded,5,Independent
3,69396,8,Alan,Robinson,5151,2098,8218,Elected,8,Democratic Unionist Party
3,95176,8,Billy,Stewart,82,0,0,Excluded,1,Independent
3,12087,8,Claire,Sugden,3981,778,6630,,,Independent
3,12088,8,Russell,Watton,933,0,0,Excluded,3,Progressive Unionist Party
3,69223,8,Darryl,Wilson,2625,0,0,Excluded,6,Ulster Unionist Party
3,5979,9,Caoimhe,Archibald,6868,0,7253,,,Sinn Fein
3,12079,9,Jordan,Armstrong,2959,0,0,Excluded,7,Traditional Unionist Voice
3,12080,9,Maurice,Bradley,6786,0,7394,Elected,6,Democratic Unionist Party
3,84446,9,Gemma,Brolly,1095,0,0,Excluded,4,Aontu
3,69309,9,Mark,Coulson,347,0,0,Excluded,2,Green Party
3,49383,9,Cara,Hunter,3664,35.2,4513.2,,,Social Democratic and Labour Party
3,11861,9,Chris,McCaw,3338,90.6,4498.6,Excluded,9,Alliance Party
3,49598,9,Kathleen,McGurk,4500,0,4715,,,Sinn Fein
3,85001,9,Amy,Merron,347,0,0,Excluded,2,People Before Profit Alliance
3,84738,9,Niall,Murphy,181,0,0,Excluded,1,Independent
3,35020,9,Stephanie,Quigley,1503,0,0,Excluded,5,Independent
3,69396,9,Alan,Robinson,5151,-824,7394,Elected,8,Democratic Unionist Party
3,95176,9,Billy,Stewart,82,0,0,Excluded,1,Independent
3,12087,9,Claire,Sugden,3981,697,7327,,,Independent
3,12088,9,Russell,Watton,933,0,0,Excluded,3,Progressive Unionist Party
3,69223,9,Darryl,Wilson,2625,0,0,Excluded,6,Ulster Unionist Party
3,5979,10,Caoimhe,Archibald,6868,200,7453,Elected,10,Sinn Fein
3,12079,10,Jordan,Armstrong,2959,0,0,Excluded,7,Traditional Unionist Voice
3,12080,10,Maurice,Bradley,6786,0,7394,Elected,6,Democratic Unionist Party
3,84446,10,Gemma,Brolly,1095,0,0,Excluded,4,Aontu
3,69309,10,Mark,Coulson,347,0,0,Excluded,2,Green Party
3,49383,10,Cara,Hunter,3664,1971.2,6484.4,Elected,10,Social Democratic and Labour Party
3,11861,10,Chris,McCaw,3338,-4498.6,0,Excluded,9,Alliance Party
3,49598,10,Kathleen,McGurk,4500,102.9,4817.9,Excluded,10,Sinn Fein
3,85001,10,Amy,Merron,347,0,0,Excluded,2,People Before Profit Alliance
3,84738,10,Niall,Murphy,181,0,0,Excluded,1,Independent
3,35020,10,Stephanie,Quigley,1503,0,0,Excluded,5,Independent
3,69396,10,Alan,Robinson,5151,0,7394,Elected,8,Democratic Unionist Party
3,95176,10,Billy,Stewart,82,0,0,Excluded,1,Independent
3,12087,10,Claire,Sugden,3981,1147,8474,Elected,10,Independent
3,12088,10,Russell,Watton,933,0,0,Excluded,3,Progressive Unionist Party
3,69223,10,Darryl,Wilson,2625,0,0,Excluded,6,Ulster Unionist Party
