Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
5,84453,1,Pádraig,Delargy,9471,0,9471,Elected,1,Sinn Fein
5,49867,1,Emmet,Doyle,2000,0,2000,,,Aontu
5,19640,1,Mark H.,Durkan,7999,0,7999,Elected,1,Social Democratic and Labour Party
5,84454,1,Ciara,Ferguson,5913,0,5913,,,Sinn Fein
5,50319,1,Rachael,Ferguson,2220,0,2220,,,Alliance Party
5,95164,1,Gillian,Hamilton,215,0,215,,,Green Party
5,35060,1,Shaun,Harkin,2621,0,2621,,,People Before Profit Alliance
5,11862,1,Anne,McCloskey,854,0,854,,,Independent
5,69196,1,Ryan,McCready,3744,0,3744,,,Ulster Unionist Party
5,84772,1,Colly,McLaughlin,766,0,766,,,Irish Republican Socialist Party
5,49549,1,Sinéad,McLaughlin,3189,0,3189,,,Social Democratic and Labour Party
5,7209,1,Gary,Middleton,4101,0,4101,,,Democratic Unionist Party
5,84452,1,Elizabeth,Neely,499,0,499,,,Traditional Unionist Voice
5,49734,1,Brian,Tierney,3273,0,3273,,,Social Democratic and Labour Party
5,84453,2,Pádraig,Delargy,9471,-1660,7811,Elected,1,Sinn Fein
5,49867,2,Emmet,Doyle,2000,42,2042,,,Aontu
5,19640,2,Mark H.,Durkan,7999,-188,7811,Elected,1,Social Democratic and Labour Party
5,84454,2,Ciara,Ferguson,5913,1323.6,7236.6,,,Sinn Fein
5,50319,2,Rachael,Ferguson,2220,53.7,2273.7,,,Alliance Party
5,95164,2,Gillian,Hamilton,215,4.4,219.4,Excluded,2,Green Party
5,35060,2,Shaun,Harkin,2621,51.2,2672.2,,,People Before Profit Alliance
5,11862,2,Anne,McCloskey,854,9.9,863.9,,,Independent
5,69196,2,Ryan,McCready,3744,2.2,3746.2,,,Ulster Unionist Party
5,84772,2,Colly,McLaughlin,766,16.5,782.5,,,Irish Republican Socialist Party
5,49549,2,Sinéad,McLaughlin,2189,60.7,3249.7,,,Social Democratic and Labour Party
5,7209,2,Gary,Middleton,4101,0.2,4101.2,,,Democratic Unionist Party
5,84452,2,Elizabeth,Neely,499,0.3,499.3,,,Traditional Unionist Voice
5,49734,2,Brian,Tierney,3273,20.6,3293.6,,,Social Democratic and Labour Party
5,84453,3,Pádraig,Delargy,9471,0,7811,Elected,1,Sinn Fein
