Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
6,8114,1,Robbie,Butler,8242,0,8242,,,Ulster Unionist Party
6,7180,1,Pat,Catney,3235,0,3235,,,Social Democratic and Labour Party
6,95161,1,Amanda,Doherty,271,0,271,,,People Before Profit Alliance
6,1858,1,Jeffrey,Donaldson,12626,0,12626,Elected,1,Democratic Unionist Party
6,19688,1,Sorcha-Lucy,Eastwood,8211,0,8211,,,Alliance Party
6,11540,1,Paul,Givan,5062,0,5062,,,Democratic Unionist Party
6,50410,1,David,Honeyford,4183,0,4183,,,Alliance Party
6,19722,1,Gary,Hynds,735,0,735,,,Independent
6,12440,1,Simon,Lee,648,0,648,,,Green Party
6,49796,1,Gary,McCleave,2725,0,2725,,,Sinn Fein
6,84456,1,Lorna,Smyth,3488,0,3488,,,Traditional Unionist Voice
6,84455,1,Laura,Turner,1607,0,1607,,,Ulster Unionist Party
6,8114,2,Robbie,Butler,8242,390.1,8632.1,Elected,2,Ulster Unionist Party
6,7180,2,Pat,Catney,3235,7.7,3242.7,,,Social Democratic and Labour Party
6,95161,2,Amanda,Doherty,271,1.9,272.9,Excluded,2,People Before Profit Alliance
6,1858,2,Jeffrey,Donaldson,12626,-4120,8506,Elected,1,Democratic Unionist Party
6,19688,2,Sorcha-Lucy,Eastwood,8211,25.5,8236.5,,,Alliance Party
6,11540,2,Paul,Givan,5062,3315.2,8377.2,,,Democratic Unionist Party
6,50410,2,David,Honeyford,4183,15.3,4198.3,,,Alliance Party
6,19722,2,Gary,Hynds,735,22.1,757.1,,,Independent
6,12440,2,Simon,Lee,648,3.5,651.5,,,Green Party
6,49796,2,Gary,McCleave,2725,1.9,2726.9,,,Sinn Fein
6,84456,2,Lorna,Smyth,3488,170.9,3658.9,,,Traditional Unionist Voice
6,84455,2,Laura,Turner,1607,51.8,1658.8,,,Ulster Unionist Party
6,8114,3,Robbie,Butler,8242,-126.1,8506,Elected,2,Ulster Unionist Party
6,7180,3,Pat,Catney,3235,43,3285.7,,,Social Democratic and Labour Party
6,95161,3,Amanda,Doherty,271,-272.9,0,Excluded,2,People Before Profit Alliance
6,1858,3,Jeffrey,Donaldson,12626,0,8506,Elected,1,Democratic Unionist Party
6,19688,3,Sorcha-Lucy,Eastwood,8211,80.3,8316.8,,,Alliance Party
6,11540,3,Paul,Givan,5062,7.3,8384.5,,,Democratic Unionist Party
6,50410,3,David,Honeyford,4183,15.3,4213.6,,,Alliance Party
6,19722,3,Gary,Hynds,735,12,769.1,Excluded,3,Independent
6,12440,3,Simon,Lee,648,68.6,720.1,Excluded,3,Green Party
6,49796,3,Gary,McCleave,2725,23,2749.9,,,Sinn Fein
6,84456,3,Lorna,Smyth,3488,6,3664.9,,,Traditional Unionist Voice
6,84455,3,Laura,Turner,1607,4,1662.8,,,Ulster Unionist Party
