Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
9,2134,1,Jim,Allister,8282,0,8282,,,Traditional Unionist Voice
9,19703,1,Matthew,Armstrong,2481,0,2481,,,Traditional Unionist Voice
9,19714,1,Bethany,Ferris,856,0,856,,,Ulster Unionist Party
9,12750,1,Paul,Frew,6242,0,6242,,,Democratic Unionist Party
9,12751,1,Philip,McGuigan,9348,0,9348,Elected,1,Sinn Fein
9,5985,1,Patricia,O'Lynn,4810,0,4810,,,Alliance Party
9,12753,1,Eugene,Reid,1919,0,1919,,,Social Democratic and Labour Party
9,19725,1,Laird,Shingleton,66,0,66,,,Independent
9,19673,1,Mervyn,Storey,6747,0,6747,,,Democratic Unionist Party
9,19695,1,Robin,Swann,9530,0,9530,Elected,1,Ulster Unionist Party
9,12757,1,Paul,Veronica,343,0,343,,,Green Party
9,2134,2,Jim,Allister,8282,130.2,8412.2,,,Traditional Unionist Voice
9,19703,2,Matthew,Armstrong,2481,19.7,2500.7,,,Traditional Unionist Voice
9,19714,2,Bethany,Ferris,856,582.6,1438.6,,,Ulster Unionist Party
9,12750,2,Paul,Frew,6242,80,6322,,,Democratic Unionist Party
9,12751,2,Philip,McGuigan,9348,-910,8438,Elected,1,Sinn Fein
9,5985,2,Patricia,O'Lynn,4810,97.6,4907.6,,,Alliance Party
9,12753,2,Eugene,Reid,1919,20.6,1939.6,,,Social Democratic and Labour Party
9,19725,2,Laird,Shingleton,66,3.3,69.3,Excluded,2,Independent
9,19673,2,Mervyn,Storey,6747,92.7,6839.7,,,Democratic Unionist Party
9,19695,2,Robin,Swann,9530,-1092,8438,Elected,1,Ulster Unionist Party
9,12757,2,Paul,Veronica,343,6.9,349.9,Excluded,2,Green Party
9,2134,3,Jim,Allister,8282,12.6,8424.8,,,Traditional Unionist Voice
9,19703,3,Matthew,Armstrong,2481,3.2,2503.9,,,Traditional Unionist Voice
9,19714,3,Bethany,Ferris,856,26.4,1465,,,Ulster Unionist Party
9,12750,3,Paul,Frew,6242,11.8,6333.8,,,Democratic Unionist Party
9,12751,3,Philip,McGuigan,9348,0,8438,Elected,1,Sinn Fein
9,5985,3,Patricia,O'Lynn,4810,247.1,5154.7,,,Alliance Party
9,12753,3,Eugene,Reid,1919,58.1,1997.7,,,Social Democratic and Labour Party
9,19725,3,Laird,Shingleton,66,-69.3,0,Excluded,2,Independent
9,19673,3,Mervyn,Storey,6747,10.7,6850.4,,,Democratic Unionist Party
9,19695,3,Robin,Swann,9530,0,8438,Elected,1,Ulster Unionist Party
9,12757,3,Paul,Veronica,343,-349.9,0,Excluded,2,Green Party
9,2134,4,Jim,Allister,8282,2.2,8427,,,Traditional Unionist Voice
9,19703,4,Matthew,Armstrong,2481,0.6,2504.5,,,Traditional Unionist Voice
9,19714,4,Bethany,Ferris,856,3.1,1468.1,Excluded,4,Ulster Unionist Party
9,12750,4,Paul,Frew,6242,1.3,6335.1,,,Democratic Unionist Party
9,12751,4,Philip,McGuigan,9348,0,8438,Elected,1,Sinn Fein
9,5985,4,Patricia,O'Lynn,4810,277.4,5432.1,,,Alliance Party
9,12753,4,Eugene,Reid,1919,617.2,2614.9,,,Social Democratic and Labour Party
9,19725,4,Laird,Shingleton,66,0,0,Excluded,2,Independent
9,19673,4,Mervyn,Storey,6747,2.9,6853.3,,,Democratic Unionist Party
9,19695,4,Robin,Swann,9530,0,8438,Elected,1,Ulster Unionist Party
9,12757,4,Paul,Veronica,343,0,0,Excluded,2,Green Party
9,2134,5,Jim,Allister,8282,199,8626,Elected,5,Traditional Unionist Voice
9,19703,5,Matthew,Armstrong,2481,221.8,2726.3,Excluded,5,Traditional Unionist Voice
9,19714,5,Bethany,Ferris,856,-1468.1,0,Excluded,4,Ulster Unionist Party
9,12750,5,Paul,Frew,6242,224.2,6559.3,,,Democratic Unionist Party
9,12751,5,Philip,McGuigan,9348,0,8438,Elected,1,Sinn Fein
9,5985,5,Patricia,O'Lynn,4810,365.4,5797.5,,,Alliance Party
9,12753,5,Eugene,Reid,1919,47.1,2662,Excluded,5,Social Democratic and Labour Party
9,19725,5,Laird,Shingleton,66,0,0,Excluded,2,Independent
9,19673,5,Mervyn,Storey,6747,233.2,7086.5,,,Democratic Unionist Party
9,19695,5,Robin,Swann,9530,0,8438,Elected,1,Ulster Unionist Party
9,12757,5,Paul,Veronica,343,0,0,Excluded,2,Green Party
9,2134,6,Jim,Allister,8282,-188,8438,Elected,5,Traditional Unionist Voice
9,19703,6,Matthew,Armstrong,2481,-2726.3,0,Excluded,5,Traditional Unionist Voice
9,19714,6,Bethany,Ferris,856,0,0,Excluded,4,Ulster Unionist Party
9,12750,6,Paul,Frew,6242,1539.8,8099.1,Elected,6,Democratic Unionist Party
9,12751,6,Philip,McGuigan,9348,0,8438,Elected,1,Sinn Fein
9,5985,6,Patricia,O'Lynn,4810,2225.9,8023.4,Elected,6,Alliance Party
9,12753,6,Eugene,Reid,1919,-2662,0,Excluded,5,Social Democratic and Labour Party
9,19725,6,Laird,Shingleton,66,0,0,Excluded,2,Independent
9,19673,6,Mervyn,Storey,6747,648.6,7735.1,Excluded,6,Democratic Unionist Party
9,19695,6,Robin,Swann,9530,0,8438,Elected,1,Ulster Unionist Party
9,12757,6,Paul,Veronica,343,0,0,Excluded,2,Green Party
