Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
11,19748,1,Chris,Carter,72,0,72,,,Independent
11,8154,1,Alan,Chambers,3825,0,3825,,,Ulster Unionist Party
11,69368,1,Stephen,Dunne,6226,0,6226,,,Democratic Unionist Party
11,7178,1,Alex,Easton,9568,0,9568,Elected,1,Independent
11,49889,1,Connie,Egan,5224,0,5224,,,Alliance Party
11,69189,1,Jennifer,Gilmour,2068,0,2068,,,Democratic Unionist Party
11,84463,1,John,Gordon,1574,0,1574,,,Traditional Unionist Voice
11,84462,1,Naomi,McBurney,1342,0,1342,,,Ulster Unionist Party
11,7235,1,Thérèse,McCartney,687,0,687,,,Sinn Fein
11,68690,1,Ray,McKimm,604,0,604,,,Independent
11,4588,1,Andrew,Muir,6838,0,6838,,,Alliance Party
11,19723,1,Matthew,Robinson,254,0,254,,,Conservative and Unionist Party
11,84461,1,Déirdre,Vaughan,727,0,727,,,Social Democratic and Labour Party
11,50551,1,Rachel,Woods,2734,0,2734,,,Green Party
11,19748,2,Chris,Carter,72,64.4,136.4,Excluded,2,Independent
11,8154,2,Alan,Chambers,3825,502.9,4327.9,,,Ulster Unionist Party
11,69368,2,Stephen,Dunne,6226,648.7,6874.7,,,Democratic Unionist Party
11,7178,2,Alex,Easton,9568,-2610,6958,Elected,1,Independent
11,49889,2,Connie,Egan,5224,112.2,5336.2,,,Alliance Party
11,69189,2,Jennifer,Gilmour,2068,263.9,2331.9,,,Democratic Unionist Party
11,84463,2,John,Gordon,1574,430.1,2004.1,,,Traditional Unionist Voice
11,84462,2,Naomi,McBurney,1342,176,1518,,,Ulster Unionist Party
11,7235,2,Thérèse,McCartney,687,7.5,694.5,,,Sinn Fein
11,68690,2,Ray,McKimm,604,112.5,716.5,,,Independent
11,4588,2,Andrew,Muir,6838,99.8,6937.8,,,Alliance Party
11,19723,2,Matthew,Robinson,254,26.4,280.4,Excluded,2,Conservative and Unionist Party
11,84461,2,Déirdre,Vaughan,727,14.5,741.5,,,Social Democratic and Labour Party
11,50551,2,Rachel,Woods,2734,122.7,2856.7,,,Green Party
11,19748,3,Chris,Carter,72,-136.4,0,Excluded,2,Independent
11,8154,3,Alan,Chambers,3825,106.4,4434.3,,,Ulster Unionist Party
11,69368,3,Stephen,Dunne,6226,28.3,6903,,,Democratic Unionist Party
11,7178,3,Alex,Easton,9568,0,6958,Elected,1,Independent
11,49889,3,Connie,Egan,5224,27.2,5363.4,,,Alliance Party
11,69189,3,Jennifer,Gilmour,2068,15.6,2347.5,,,Democratic Unionist Party
11,84463,3,John,Gordon,1574,19.4,2023.5,,,Traditional Unionist Voice
11,84462,3,Naomi,McBurney,1342,48.7,1566.7,,,Ulster Unionist Party
11,7235,3,Thérèse,McCartney,687,2,696.5,Excluded,3,Sinn Fein
11,68690,3,Ray,McKimm,604,51.3,767.8,,,Independent
11,4588,3,Andrew,Muir,6838,32,6969.8,Elected,3,Alliance Party
11,19723,3,Matthew,Robinson,254,-280.4,0,Excluded,2,Conservative and Unionist Party
11,84461,3,Déirdre,Vaughan,727,5.9,747.4,,,Social Democratic and Labour Party
11,50551,3,Rachel,Woods,2734,43.4,2900.1,,,Green Party
11,19748,4,Chris,Carter,72,0,0,Excluded,2,Independent
