Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
12,8151,1,Steve,Aiken,5354,0,5354,,,Ulster Unionist Party
12,84611,1,Róisín,Bennett,657,0,657,,,Aontu
12,71629,1,John,Blair,7315,0,7315,,,Alliance Party
12,13366,1,Pam,Cameron,6899,0,6899,,,Democratic Unionist Party
12,13367,1,Trevor,Clarke,4943,0,4943,,,Democratic Unionist Party
12,4711,1,Declan,Kearney,9185,0,9185,Elected,1,Sinn Fein
12,2768,1,Mel,Lucas,4371,0,4371,,,Traditional Unionist Voice
12,5390,1,Roisin,Lynch,3139,0,3139,,,Social Democratic and Labour Party
12,95169,1,Jerry,Maguire,251,0,251,,,People Before Profit Alliance
12,8152,1,Paul,Michael,2821,0,2821,,,Ulster Unionist Party
12,95170,1,Andrew,Moran,262,0,262,,,Independent
12,69255,1,Lesley,Veronica,539,0,539,,,Green Party
12,8151,2,Steve,Aiken,5354,6.7,5360.7,,,Ulster Unionist Party
12,84611,2,Róisín,Bennett,657,126.4,783.4,Excluded,2,Aontu
12,71629,2,John,Blair,7315,336.5,7651.5,Elected,2,Alliance Party
12,13366,2,Pam,Cameron,6899,2.9,6901.9,,,Democratic Unionist Party
12,13367,2,Trevor,Clarke,4943,1.3,4944.3,,,Democratic Unionist Party
12,4711,2,Declan,Kearney,9185,-1562,7623,Elected,1,Sinn Fein
12,2768,2,Mel,Lucas,4371,1.7,4372.7,,,Traditional Unionist Voice
12,5390,2,Roisin,Lynch,3139,982.3,4121.3,,,Social Democratic and Labour Party
12,95169,2,Jerry,Maguire,251,47.9,298.9,Excluded,2,People Before Profit Alliance
12,8152,2,Paul,Michael,2821,4.9,2825.9,,,Ulster Unionist Party
12,95170,2,Andrew,Moran,262,4.6,266.6,Excluded,2,Independent
12,69255,2,Lesley,Veronica,539,46.6,585.6,Excluded,2,Green Party
12,8151,3,Steve,Aiken,5354,129.5,5490.2,,,Ulster Unionist Party
12,84611,3,Róisín,Bennett,657,-783.4,0,Excluded,2,Aontu
12,71629,3,John,Blair,7315,-28.5,7623,Elected,2,Alliance Party
12,13366,3,Pam,Cameron,6899,97,6998.9,,,Democratic Unionist Party
12,13367,3,Trevor,Clarke,4943,60.4,5004.7,,,Democratic Unionist Party
12,4711,3,Declan,Kearney,9185,0,7623,Elected,1,Sinn Fein
12,2768,3,Mel,Lucas,4371,116.8,4489.5,,,Traditional Unionist Voice
12,5390,3,Roisin,Lynch,3139,809.8,4931.1,,,Social Democratic and Labour Party
12,95169,3,Jerry,Maguire,251,-298.9,0,Excluded,2,People Before Profit Alliance
12,8152,3,Paul,Michael,2821,136.7,2962.6,Excluded,3,Ulster Unionist Party
12,95170,3,Andrew,Moran,262,-266.6,0,Excluded,2,Independent
12,69255,3,Lesley,Veronica,539,-585.6,0,Excluded,2,Green Party
12,8151,4,Steve,Aiken,5354,2178,7668.2,Elected,4,Ulster Unionist Party
12,84611,4,Róisín,Bennett,657,0,0,Excluded,2,Aontu
12,71629,4,John,Blair,7315,0,7623,Elected,2,Alliance Party
12,13366,4,Pam,Cameron,6899,134,7132.9,,,Democratic Unionist Party
12,13367,4,Trevor,Clarke,4943,253,5257.7,,,Democratic Unionist Party
12,4711,4,Declan,Kearney,9185,0,7623,Elected,1,Sinn Fein
12,2768,4,Mel,Lucas,4371,171,4660.5,,,Traditional Unionist Voice
12,5390,4,Roisin,Lynch,3139,116,5047.1,,,Social Democratic and Labour Party
12,95169,4,Jerry,Maguire,251,0,0,Excluded,2,People Before Profit Alliance
12,8152,4,Paul,Michael,2821,0,2962.6,Excluded,3,Ulster Unionist Party
12,95170,4,Andrew,Moran,262,0,0,Excluded,2,Independent
12,69255,4,Lesley,Veronica,539,0,0,Excluded,2,Green Party
12,8151,5,Steve,Aiken,5354,-45.2,7623,Elected,4,Ulster Unionist Party
12,84611,5,Róisín,Bennett,657,0,0,Excluded,2,Aontu
12,71629,5,John,Blair,7315,0,7623,Elected,2,Alliance Party
12,13366,5,Pam,Cameron,6899,0.4,7133.3,,,Democratic Unionist Party
12,13367,5,Trevor,Clarke,4943,0,5257.7,,,Democratic Unionist Party
12,4711,5,Declan,Kearney,9185,0,7623,Elected,1,Sinn Fein
12,2768,5,Mel,Lucas,4371,0.4,4660.9,Excluded,5,Traditional Unionist Voice
12,5390,5,Roisin,Lynch,3139,3.2,5050.3,,,Social Democratic and Labour Party
12,95169,5,Jerry,Maguire,251,0,0,Excluded,2,People Before Profit Alliance
12,8152,5,Paul,Michael,2821,-2962.6,0,Excluded,3,Ulster Unionist Party
12,95170,5,Andrew,Moran,262,0,0,Excluded,2,Independent
12,69255,5,Lesley,Veronica,539,0,0,Excluded,2,Green Party
12,8151,6,Steve,Aiken,5354,0,7623,Elected,4,Ulster Unionist Party
12,84611,6,Róisín,Bennett,657,0,0,Excluded,2,Aontu
12,71629,6,John,Blair,7315,0,7623,Elected,2,Alliance Party
12,13366,6,Pam,Cameron,6899,2189,9322.3,Elected,6,Democratic Unionist Party
12,13367,6,Trevor,Clarke,4943,1622,6879.7,,,Democratic Unionist Party
12,4711,6,Declan,Kearney,9185,0,7623,Elected,1,Sinn Fein
12,2768,6,Mel,Lucas,4371,-4660.9,0,Excluded,5,Traditional Unionist Voice
12,5390,6,Roisin,Lynch,3139,71,5121.3,,,Social Democratic and Labour Party
12,95169,6,Jerry,Maguire,251,0,0,Excluded,2,People Before Profit Alliance
12,8152,6,Paul,Michael,2821,0,0,Excluded,3,Ulster Unionist Party
12,95170,6,Andrew,Moran,262,0,0,Excluded,2,Independent
12,69255,6,Lesley,Veronica,539,0,0,Excluded,2,Green Party
12,8151,7,Steve,Aiken,5354,0,7623,Elected,4,Ulster Unionist Party
12,84611,7,Róisín,Bennett,657,0,0,Excluded,2,Aontu
12,71629,7,John,Blair,7315,0,7623,Elected,2,Alliance Party
12,13366,7,Pam,Cameron,6899,-1699.3,7623,Elected,6,Democratic Unionist Party
12,13367,7,Trevor,Clarke,4943,145,7024.7,Elected,7,Democratic Unionist Party
12,4711,7,Declan,Kearney,9185,0,7623,Elected,1,Sinn Fein
12,2768,7,Mel,Lucas,4371,0,0,Excluded,5,Traditional Unionist Voice
12,5390,7,Roisin,Lynch,3139,25.1,5146.4,Excluded,7,Social Democratic and Labour Party
12,95169,7,Jerry,Maguire,251,0,0,Excluded,2,People Before Profit Alliance
12,8152,7,Paul,Michael,2821,0,0,Excluded,3,Ulster Unionist Party
12,95170,7,Andrew,Moran,262,0,0,Excluded,2,Independent
12,69255,7,Lesley,Veronica,539,0,0,Excluded,2,Green Party
