Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
14,11532,1,Patrick,Brown,6942,0,6942,,,Alliance Party
14,19728,1,Patrick,Clarke,134,0,134,,,Independent
14,19671,1,Sinéad,Ennis,14381,0,14381,,,Sinn Fein
14,34534,1,Diane,Forsythe,6497,0,6497,,,Democratic Unionist Party
14,85045,1,Noeleen,Lynch,412,0,412,,,Green Party
14,68954,1,Jill,MacAuley,2818,0,2818,,,Ulster Unionist Party
14,49592,1,Cathy,Mason,9963,0,9963,,,Sinn Fein
14,95165,1,Paul,McCrory,205,0,205,,,People Before Profit Alliance
14,84612,1,Rosemary,McGlone,1177,0,1177,,,Aontu
14,11535,1,Colin,McGrath,6082,0,6082,,,Social Democratic and Labour Party
14,6709,1,Harold,McKee,3273,0,3273,,,Traditional Unionist Voice
14,11398,1,Karen,McKevitt,3006,0,3006,,,Social Democratic and Labour Party
