Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
16,68951,1,Glenn,Barr,3367,0,3367,,,Ulster Unionist Party
16,95166,1,Glenn,Beattie,128,0,128,Excluded,1,Heritage Party
16,8150,1,Doug,Beattie,5199,0,5199,,,Ulster Unionist Party
16,19683,1,Jonathan Glen,Buckley,8869,0,8869,,,Democratic Unionist Party
16,69799,1,Diane,Dodds,6548,0,6548,,,Democratic Unionist Party
16,68992,1,Darrin,Foster,4373,0,4373,,,Traditional Unionist Voice
16,84887,1,Aidan,Gribbin,571,0,571,Excluded,1,Aontu
16,699,1,Dolores,Kelly,3645,0,3645,,,Social Democratic and Labour Party
16,84506,1,Lauren,Kendall,459,0,459,Excluded,1,Green Party
16,49877,1,Liam,Mackle,7260,0,7260,,,Sinn Fein
16,3752,1,John,O'Dowd,9242,0,9242,,,Sinn Fein
16,50332,1,Eóin,Tennyson,6440,0,6440,,,Alliance Party
16,68951,2,Glenn,Barr,3367,33,3400,Excluded,2,Ulster Unionist Party
16,95166,2,Glenn,Beattie,128,-128,0,Excluded,1,Heritage Party
16,8150,2,Doug,Beattie,5199,37,5236,,,Ulster Unionist Party
16,19683,2,Jonathan Glen,Buckley,8869,90,8959,,,Democratic Unionist Party
16,69799,2,Diane,Dodds,6548,45,6593,,,Democratic Unionist Party
16,68992,2,Darrin,Foster,4373,72,4445,,,Traditional Unionist Voice
16,84887,2,Aidan,Gribbin,571,-571,0,Excluded,1,Aontu
16,699,2,Dolores,Kelly,3645,198,3843,,,Social Democratic and Labour Party
16,84506,2,Lauren,Kendall,459,-459,0,Excluded,1,Green Party
16,49877,2,Liam,Mackle,7260,91,7351,,,Sinn Fein
16,3752,2,John,O'Dowd,9242,76,9318,,,Sinn Fein
16,50332,2,Eóin,Tennyson,6440,322,6762,,,Alliance Party
16,68951,3,Glenn,Barr,3367,-3400,0,Excluded,2,Ulster Unionist Party
16,95166,3,Glenn,Beattie,128,0,0,Excluded,1,Heritage Party
16,8150,3,Doug,Beattie,5199,2475,7711,,,Ulster Unionist Party
16,19683,3,Jonathan Glen,Buckley,8869,231,9190,,,Democratic Unionist Party
16,69799,3,Diane,Dodds,6548,331,6924,,,Democratic Unionist Party
16,68992,3,Darrin,Foster,4373,162,4607,,,Traditional Unionist Voice
16,84887,3,Aidan,Gribbin,571,0,0,Excluded,1,Aontu
16,699,3,Dolores,Kelly,3645,32,3875,Excluded,3,Social Democratic and Labour Party
16,84506,3,Lauren,Kendall,459,0,0,Excluded,1,Green Party
16,49877,3,Liam,Mackle,7260,3,7354,,,Sinn Fein
16,3752,3,John,O'Dowd,9242,5,9323,,,Sinn Fein
16,50332,3,Eóin,Tennyson,6440,107,6869,,,Alliance Party
16,68951,4,Glenn,Barr,3367,0,0,Excluded,2,Ulster Unionist Party
