Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
18,84465,1,Nicola,Brogan,8626,0,8626,Elected,1,Sinn Fein
18,6920,1,Barry,Brown,119,0,119,,,Independent
18,1871,1,Thomas,Buchanan,6640,0,6640,,,Democratic Unionist Party
18,70571,1,Trevor,Clarke,4166,0,4166,,,Traditional Unionist Voice
18,6365,1,Stephen,Donnelly,2967,0,2967,,,Alliance Party
18,69331,1,Amy,Ferguson,171,0,171,,,Socialist Party (Northern Ireland)
18,84737,1,Carol,Gallagher,354,0,354,,,People Before Profit Alliance
18,68896,1,Paul 'Gags',Gallagher,1682,0,1682,,,Independent
18,68878,1,Susan,Glass,252,0,252,,,Green Party
18,72373,1,James,Hope,657,0,657,,,Aontu
18,84466,1,Ian,Marshall,1876,0,1876,,,Ulster Unionist Party
18,11343,1,Declan,McAleer,6343,0,6343,,,Sinn Fein
18,5185,1,Daniel,McCrossan,5483,0,5483,,,Social Democratic and Labour Party
18,69263,1,Maolíosa,McHugh,6658,0,6658,,,Sinn Fein
18,84465,2,Nicola,Brogan,8626,-960,7666,Elected,1,Sinn Fein
18,6920,2,Barry,Brown,119,6.1,125.1,Excluded,2,Independent
18,1871,2,Thomas,Buchanan,6640,1.9,6641.9,,,Democratic Unionist Party
18,70571,2,Trevor,Clarke,4166,0.3,4166.3,,,Traditional Unionist Voice
18,6365,2,Stephen,Donnelly,2967,58.5,3025.5,,,Alliance Party
18,69331,2,Amy,Ferguson,171,2,173,Excluded,2,Socialist Party (Northern Ireland)
18,84737,2,Carol,Gallagher,354,4.2,358.2,Excluded,2,People Before Profit Alliance
18,68896,2,Paul 'Gags',Gallagher,1682,6.3,1688.3,,,Independent
18,68878,2,Susan,Glass,252,2.9,254.9,Excluded,2,Green Party
18,72373,2,James,Hope,657,3.9,660.9,Excluded,2,Aontu
18,84466,2,Ian,Marshall,1876,0.9,1876.9,,,Ulster Unionist Party
